ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,ent_fac_dp,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,cca_sh_knob,mparwtr,qlmin,gwd_frc,fbcd,gwd_fsat,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,zhloc_depth_fac,par_mezcla,lambda_min_rp,dec_thres_cloud,dec_thres_cu,forced_cu_fac,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,m_ci,ai,x1r,ar,mp_dz_scal,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,param_cloud_hplus,ps_natl_dms_emiss,u10_max_coare,r0,rho_snow_fresh,tupp_io,f0_io,dz0v_dh_io,nl0_io,rootd_ft_io,psm
Parameter,longName,,,,Amplitude of deep entrainment,Amplitude of mid entrainment,Deep mixing detrainment,Adaptive detrainment,CCA scaling (mid),CCA scaling (deep),CCA scaling (shallow),Maximum condensate,Min critical cloud condensate,Critical Froude number,Flow blocking drag coefficient,Inverse critical Froude number for wave saturation,Mountain wave amplitude constant,Scales sub-grid orography st dev,Flux profile parameter,Critical Richardson number,Orographic form drag coefficient,Entrainment parameter A1,Cloud-top diffusion,Threshold fraction of the cloud layer depth,Neutral mixing length,Minimum mixing length,Decoupling threshold for cloudy Bls,,,Cloud erosion,Fractional Standard Deviation,Decorrelation scale pressure,Ice width,,Ice fall speed multiplication factor,Aggregate mass scaling,Rain PSD shape,Aspect ratio of ice crystal,Mixed-phase turbulent production of supercooled liquid water,Anthropogenic SO2 emission flux,The rate of dry deposition of SO2,The standard deviation used to define the pdf of updraft velocity,BC/OC mass emission flux from biomass burning sources,The emission mass flux of sea spray aerosols,,pH of cloud drops,,,,,,,,,,
Parameter,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per second,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,min,,,,0,0,0,0.3,0,0,0,0.001,0.00005,0.5,0,0.1,0,1,2.5,0.2,0,0,0,0,0,0,0.01,0.005,0,0,1,2500,0.001,0,0.3,0.0061,0.07,0,0,0.6,0.2,0.1,0.25,0.125,0,4,0.5,14,40,70,25,0.65,0,0,0,0
Parameter,max,,,,4,3,15,0.99,1,1,1,0.002,0.0005,10,10,2,2,6.5,50,4,1,0.5,2,1,0.45,120,1,0.5,1,0.001,2,40000,1,1,3,0.0555,0.52,1,4,1.5,5,1.75,4,8.00E+00,2,7,2,24,80,130,41,0.972,0.16,0.12,8,2.68
Parameter,hybridSetNumericValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mathematicalMin,,,,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.01,0.005,0,0,,2500,0.001,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,mathematicalMax,,,,,,,1,,,,,0.001,,,,,,,,,,,1,,,1,0.5,1,,,40000,1,1,1000,,0.52,,,,,,,,,14,,,,,,1,,,,2.68
Parameter,dependency,,,,,,,,,cca_md_knob,,,,,,,,,,g0_rp,,,a_ent_1_rp,,,par_mezcla,,dec_thres_cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mappedFactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,transformFunc,,,,,,,,,cca_md2dp_knob,,,,,,,,,,g0toRicrit,,,a_ent_1_to_g1,,,par_mezcla2lambda_lower,,dec_thres_cloud2cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,distribution,,,,"RandomTrapezoidal(0, 0.5, 2, 4)","RandomTrapezoidal(0, 0.5, 2, 3)","RandomTrapezoidal(0, 0.5, 10, 15)","RandomTrapezoidal(0.3, 0.5, 0.9, 0.99)","RTrapezoidal(0,0.1,0.2,1,2,5)","RTrapezoidal(0,0.1,0.2,1,2,5)","RTrapezoidal(0,0.1,0.2,1,2,5)","RandomTrapezoidal(0.001, 0.001, 0.0015, 0.002)","UniformRandom(0.00005, 0.0005)","RandomTrapezoidal(0.5, 1, 6, 10)","RandomTrapezoidal(0, 0.5, 8, 10)","RandomTrapezoidal(0.1, 0.25, 1, 2)","RandomTrapezoidal(0, 0.1, 1.5, 2)","RandomTrapezoidal(1, 2.5, 5, 6.5)","RandomTrapezoidal(2.5, 5, 20, 50)",,"RandomTrapezoidal(0, 0.05, 0.5, 1)","RandomTrapezoidal(0, 0.1, 0.4, 0.5)","RandomTrapezoidal(0, 0.5, 1.5, 2)","UniformRandom(0, 1)","RandomTrapezoidal(0, 0.03, 0.225, 0.45)","RandomTrapezoidal(0, 8, 60, 120)","TruncatedGamma(0.01, 0.8, 0.1, 3)","TruncatedGamma(0.01, 0.8, 0.1, 3)","RandomTrapezoidal(0, 0.5, 0.5, 1)","RandomTrapezoidal(0, 0.0001, 0.0005, 0.001)","RandomTrapezoidal(1, 1.1, 1.9, 2)","RandomTrapezoidal(2500, 5000, 20000, 40000)","UniformRandom(0.001, 1)","PiecewisePdf((0, 0.35), (0.7, 1.25), (0.9, 1), (1, 0.5))","TruncatedGamma(0.33, 3, 1, 5)","TruncatedGamma(0.0061, 0.0555, 0.0185, 3)","TruncatedGamma(0.09, 0.52, 0.22, 12)","PiecewisePdf((0,1), (0.5, 0.9), (1,0.8))","RandomTrapezoidal(0, 1, 2, 4)","RTrapezoidal(0.6,0.81,1.09,1.5,2,2)","RTrapezoidalLog10Scale(-0.69,-0.25,0.25,0.69,2,2)","RTrapezoidal(0.1, 0.9, 1.1, 1.75, 2, 2)","RTrapezoidal(0.25,0.8,2.2,4,2,2)","RTrapezoidalLog10Scale(-0.9,-0.22,0.48,0.9,4,3)","RTrapezoidal(0.5, 0.81,  0.99, 2, 4, 1)","RTrapezoidal(4.6, 5.3, 6.3, 7, 4, 2)","RTrapezoidal(0.5, 1.26, 1.82, 2, 2, 3)","RandomTrapezoidal(14, 15, 23, 24)","RandomTrapezoidal(40, 50, 50, 80)","RandomTrapezoidal(70, 109, 109, 130)","RandomTrapezoidal(25,31,40,41)","RandomTrapezoidal(0.65, 0.7, 0.95, 0.972)","RandomTrapezoidal(0.01, 0.02, 0.12, 0.16)","RandomTrapezoidal(0.01, 0.02,0.06, 0.12)","RandomTrapezoidal(0,1,4,8)","TruncatedGamma(0.5, 2, 1, 8)"
Parameter,allowOutsideRange,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Parameter,Signature effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Explicit resolution dependency,,,,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes. (see LRs excel),,,,,,,,,,,,,
Parameter,References/key evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelistFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelist,,,,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_gwd,run_gwd,run_gwd,run_gwd,run_gwd,run_stochastic,run_stochastic,jules_surface,run_stochastic,run_stochastic,run_bl,run_stochastic,run_stochastic,run_bl,run_bl,run_cloud,run_cloud,run_radiation,run_radiation,run_cloud,run_precip,run_stochastic,run_precip,run_precip,run_precip,run_precip,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,jules_sea_seaice,jules_snow,jules_snow,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_surface
Parameter,Key process metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,standardValue,,,,1.13,0.9,3,0.8,0.1,0.1,0.2,0.0015,0.0003,4,4,0.25,0.5,2.5,10,1,0.15,0.23,0.85,0.4,0.15,40,0.1,0.05,0.5,0.00015,1.5,10000,0.02,0.9,1,0.0257,0.22,1,1,1,1,0.4,2,1,1,5,1,22,50,109,36,0.875,0.05,0.04,3,1
Parameter,Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Scheme,,,,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,GWD,GWD,GWD,GWD,GWD,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,CLD,CLD,CLD,CLD,LSP,LSP,LSP,LSP,LSP,LSP,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,CHARNOCK,SNOW,SNOW,JULES,JULES,JULES,JULES,JULES,JULES
Parameter,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,
