ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmax,prog_ent_xmin,prog_ent_int,prog_ent_grad,tau_conv_prog_precip,eff_dcfl,eff_dcff,cpress_term,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,mparwtr,qlmin,gwd_frc,fbcd,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,dec_thres_cloud,near_neut_z_on_l,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,param_pdf_power,param_pdf_merge_power,c_r_correl,param_aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,a_ratio_exp,a_ratio_fac,starticetkelvin,tice,param_tnuc,allicetdegc0to1,allicetdegc,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,ps_natl_dms_emiss,ps_prim_moc,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,r0,rho_snow_fresh,rmax,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,unload_rate_u,can_clump,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,n_lai_exposed5,fsmc_p0_io,gs_nvg_io
Parameter,longName,,,,Maximum entrainment scaling,Minimum entrainment scaling,Maximum of convective precipitation prognostic for max entrainment scaling,Minimum of convective precipitation prognostic for min entrainment scaling,Intercept in entrainment scaling,Gradient in entrainment scaling,Decay timescale for convective precipitation prognostic,Efficiency of liquid cloud creation,Efficiency of frozen cloud creation,Coefficient for pressure term relative to shear term ,Amplitude of mid entrainment,Deep mixing detrainment,Adaptive detrainment,CCA scaling (mid),CCA scaling (deep),Maximum condensate,Min critical cloud condensate,Critical Froude number,Flow blocking drag coefficient,Mountain wave amplitude constant,Scales sub-grid orography st dev,Flux profile parameter,Critical Richardson number,Orographic form drag coefficient,Entrainment parameter A1,Cloud-top diffusion,Decoupling threshold for cloudy Bls,,Cloud erosion,Fractional Standard Deviation,Decorrelation scale pressure,Ice width,,,,,Ice fall speed multiplication factor,Aggregate mass scaling,Rain PSD shape,Aspect ratio of ice crystal,Mixed-phase turbulent production of supercooled liquid water,,,,,,,,,,,Anthropogenic SO2 emission flux,The rate of dry deposition of SO2,The standard deviation used to define the pdf of updraft velocity,BC/OC mass emission flux from biomass burning sources,The emission mass flux of sea spray aerosols,,,,,,Liu beta in spectral dispersion,,Liu power in spectral dispersion,,,,,,,,,,,,,,,,,,
Parameter,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,min,,,,1.5,0.3,-5.4,-3.6,-10,-3,3600,0.8,0.8,0,0,0,0.3,0,0,0.001,0.00005,0.5,0,0,1,2.5,0.2,0,0,0,0.01,0,0,1,2500,0.001,0,0,0,2.15,0.3,0.0061,0.07,0,0,2,600,1.00E-06,-0.4,0.01,233.15,233.15,-40,0,-40,0.6,0.2,0.25,0.25,0.12,0,0.5,0.25,0.1,0.38,0.03,-0.007,-0.17849,14,40,50,1500,1.00E-06,0.00E+00,5.00E+01,1.155E-06,2.00E+00,25,0.65,0.55,0,0,0.25,0.25,0,0.005
Parameter,max,,,,3,0.7,-4.4,-2.6,5,0,50000,4.5,9,0.99,3,15,0.99,2,2,0.002,0.001,7,10,3,4.5,50,4,1,0.5,2,1,10,0.001,2,40000,1,2,1,1,3.31,3,0.0555,0.52,1,4,12,9600,1.00E-03,0,0.1377,273.15,273.15,0,1,0,1.5,5,1.75,4,4.00E+00,2,2,4,10,1.14,0.12,0.007,-0.10896,24,80,160,2500,8.00E-06,8.20E+01,2.42E+02,4.62E-06,1.20E+01,41,0.972,2.2,0.12,8,4,4,0.8,0.02
Parameter,hybridSetNumericValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mathematicalMin,,,,0.7,0,,,,,,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,,0,0,0,0.01,0,0,,2500,0.001,0,0,0,0,0,0,0.07,0,0,0,0,,,0,,,,0,-40,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Parameter,mathematicalMax,,,,,0.7,-3.5,,,,,,,1,,,1,,,,0.001,,,,,,,,,,1,,,,40000,1,,1,1,,1000,,0.52,,,,,,0,,2,,,1,0,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,
Parameter,dependency,,,,,,,,"prog_ent_max, prog_ent_min, prog_ent_xmax, prog_ent_xmin","prog_ent_max, prog_ent_min, prog_ent_xmax, prog_ent_xmin",,,,,,,,,cca_md_knob,,,,,,,,g0_rp,,,a_ent_1_rp,,,,,,,,,,,,,,,,,,,,a_ratio_exp,,starticetkelvin,starticetkelvin,,"starticetkelvin,allicetdegc0to1",,,,,,,,,,,,,"aparam, liu_latent",,,,,,,"rho_snow_fresh, rho_snow_et_crit_delta",,,,,,,,,,,
Parameter,mappedFactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
