ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Parameter,longName,,,,Maximum entrainment scaling,Minimum entrainment scaling,Minimum of convective precipitation prognostic for min entrainment scaling,Intercept in entrainment scaling,Gradient in entrainment scaling,Efficiency of liquid cloud creation,Efficiency of frozen cloud creation,Coefficient for pressure term relative to shear term ,Shallow entrainment coefficient,Deep mixing detrainment,Adaptive detrainment,CCA scaling (mid),Maximum condensate,Min critical cloud condensate,,CAPE timescale,Evaporative fraction of the initial mid-level parcel perturbation,Size of the initial mid-level buoyancy perturbation,,Critical Froude number,Flow blocking drag coefficient,Mountain wave amplitude constant,Scales sub-grid orography st dev,Seeder feeder nsigma,Seeder feeder critical Froude number,Maximum entrainment zone depth,Flux profile parameter,Critical Richardson number,Orographic form drag coefficient,Entrainment parameter A1,Cloud-top diffusion,Generation of turbulent mixing and cloud-top entrainment by buoyancy reversal,Decoupling threshold for cloudy Bls,Neutral mixing length,Minimum mixing length,,,,Cloud erosion,Fractional Standard Deviation,Decorrelation scale pressure,Ice width,,,Ice fall speed multiplication factor,Aggregate mass scaling,Rain PSD shape,Aspect ratio of ice crystal,Mixed-phase turbulent production of supercooled liquid water,,,,Anthropogenic SO2 emission flux,The rate of dry deposition of SO2,The standard deviation used to define the pdf of updraft velocity,BC/OC mass emission flux from biomass burning sources,The emission mass flux of sea spray aerosols,,,,,,Liu beta in spectral dispersion,,Liu power in spectral dispersion,,,,,,Broadleaf clump,Needleleaf clump,,,,,,,,
Parameter,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,min,,,,1.5,0.3,-3.6,-10,-3,0.8,0.8,0,0.33,0,0.3,0,0.001,0.00005,1,900,0,0,0.01,0.5,0,0,1,1,0.5,300,2.5,0.2,0,0,0,0,0.01,0,0,0,0,0,0,1,2500,0.001,0,2.15,0.3,0.0061,0.07,0,0,2,600,1.00E-06,0.6,0.2,0.25,0.25,0.12,0,0.5,0.25,0.1,0.38,0.03,-0.007,-0.17849,14,50,1.00E-06,0.00E+00,5.00E+01,2.00E+00,2.00E+00,25,0.65,0.55,0,0,0.25,0,0.005
Parameter,max,,,,3,0.7,-2.6,5,0,4.5,9,0.99,3,5,0.99,2,0.002,0.001,10,10800,1,1,0.09,7,10,3,4.5,4.5,6,500,50,4,1,0.5,2,0.1,1,0.45,120,10,4,1,0.001,2,40000,1,1,3.31,3,0.0555,0.52,1,4,12,9600,1.00E-03,1.5,5,1.75,4,4.00E+00,2,2,4,10,1.14,0.12,0.007,-0.10896,24,160,8.00E-06,8.20E+01,2.42E+02,1.20E+01,1.20E+01,41,0.972,2.2,0.12,8,4,0.8,0.02
Parameter,hybridSetNumericValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mathematicalMin,,,,0.7,0,,,,0,0,0,0,0,0,0,0.002,0,1,600,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.01,0,0,0,0,0,0,,2500,0.001,0,0,0,0,0.07,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Parameter,mathematicalMax,,,,,0.7,,,,,,1,,,1,,,0.001,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,40000,1,1,,1000,,0.52,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,
Parameter,dependency,,,,,,,"prog_ent_max, prog_ent_min, prog_ent_xmin","prog_ent_max, prog_ent_min, prog_ent_xmin",,,,,,,,,,,,,,,,,,,,,,,g0_rp,,,a_ent_1_rp,,,,par_mezcla_rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aparam, liu_latent",,,,,"rho_snow_fresh, rho_snow_et_crit_delta",,,,,,,,,,
Parameter,mappedFactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
