ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,ent_fac_dp,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,cca_sh_knob,mparwtr,qlmin,gwd_frc,fbcd,gwd_fsat,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,zhloc_depth_fac,par_mezcla,lambda_min_rp,dec_thres_cloud,dec_thres_cu,forced_cu_fac,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,m_ci,ai,x1r,ar,mp_dz_scal,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,param_cloud_hplus,ps_natl_dms_emiss,u10_max_coare,r0,rho_snow_fresh,tupp_io,f0_io,dz0v_dh_io,nl0_io,rootd_ft_io,psm
Parameter,longName,,,,Amplitude of deep entrainment,Amplitude of mid entrainment,Deep mixing detrainment,Adaptive detrainment,CCA scaling (mid),,CCA scaling (shallow),Maximum condensate,Min critical cloud condensate,Critical Froude number,Flow blocking drag coefficient,Inverse critical Froude number for wave saturation,Mountain wave amplitude constant,Scales sub-grid orography st dev,Flux profile parameter,,Orographic form drag coefficient,Entrainment parameter A1,,Threshold fraction of the cloud layer depth,Neutral mixing length,,Decoupling threshold for cloudy Bls,,,Cloud erosion,Fractional Standard Deviation,Decorrelation scale pressure,Ice width,,Ice fall speed multiplication factor,Aggregate mass scaling,Rain PSD shape,Aspect ratio of ice crystal,Mixed-phase turbulent production of supercooled liquid water,Anthropogenic SO2 emission flux,The rate of dry deposition of SO2,The standard deviation used to define the pdf of updraft velocity,BC/OC mass emission flux from biomass burning sources,The emission mass flux of sea spray aerosols,,pH of cloud drops,,,,,,,,,,
Parameter,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per second,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,min,,,,0,0,0,0.3,0,0,0,0.001,5e-05,0.5,0,0.1,0,1,2.5,0.2,0,0,0.0,0,0,0.0,0.01,0.005,0,0,1,2500,0.001,0,0.3,0.0061,0.07,0,0,0.6,0.2,0.1,0.25,0.125,0,4,0.5,14,40,70,25,0.65,0,0,0,0
Parameter,max,,,,4,3,15,0.99,1,1,1,0.002,0.0005,10,10,2,2,6.5,50,4.0,1,0.5,1.8478260869565215,1,0.45,120.0,1,0.5,1,0.001,2,40000,1,1,3,0.0555,0.52,1,4,1.5,5,1.75,4,8.0,2,7,2,24,80,130,41,0.972,0.16,0.12,8,2.68
Parameter,hybridSetNumericValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mathematicalMin,,,,0,0,0,0,0,,0,0.002,0,0,0,0,0,0,0,,0,0,,0,0,,0.01,,0,0,,2500,0.001,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,mathematicalMax,,,,,,,1,,,,,0.001,,,,,,,,,,,1,,,1,,1,,,40000,1,1,1000,,0.52,,,,,,,,,14,,,,,,1,,,,2.68
Parameter,dependency,,,,,,,,,cca_md_knob,,,,,,,,,,g0_rp,,,a_ent_1_rp,,,par_mezcla,,dec_thres_cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,mappedFactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
